name,position,team,kickoff_time,opponent_team,was_home,xP,assists,bonus,bps,clean_sheets,player_id,expected_assists,expected_goal_involvements,expected_goals,goals_conceded,goals_scored,ict_index,minutes,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,log1p_total_points,team_id,opponent_strength,team_strength,position_id,assists_lag_1,assists_lag_2,bonus_lag_1,bonus_lag_2,bps_lag_1,bps_lag_2,clean_sheets_lag_1,clean_sheets_lag_2,goals_conceded_lag_1,goals_conceded_lag_2,goals_scored_lag_1,goals_scored_lag_2,ict_index_lag_1,ict_index_lag_2,minutes_lag_1,minutes_lag_2,saves_lag_1,saves_lag_2,starts_lag_1,starts_lag_2,threat_lag_1,threat_lag_2,yellow_cards_lag_1,yellow_cards_lag_2,total_points_lag_1,total_points_lag_2,xP_lag_1,xP_lag_2,expected_assists_lag_1,expected_assists_lag_2,expected_goal_involvements_lag_1,expected_goal_involvements_lag_2,expected_goals_lag_1,expected_goals_lag_2,value_lag_1,value_lag_2,selected_lag_1,selected_lag_2,transfers_balance_lag_1,transfers_balance_lag_2,transfers_in_lag_1,transfers_in_lag_2,transfers_out_lag_1,transfers_out_lag_2,team_a_score_lag_1,team_a_score_lag_2,team_h_score_lag_1,team_h_score_lag_2,assists_roll_mean3_lag1,assists_roll_mean5_lag1,bonus_roll_mean3_lag1,bonus_roll_mean5_lag1,bps_roll_mean3_lag1,bps_roll_mean5_lag1,clean_sheets_roll_mean3_lag1,clean_sheets_roll_mean5_lag1,goals_conceded_roll_mean3_lag1,goals_conceded_roll_mean5_lag1,goals_scored_roll_mean3_lag1,goals_scored_roll_mean5_lag1,ict_index_roll_mean3_lag1,ict_index_roll_mean5_lag1,minutes_roll_mean3_lag1,minutes_roll_mean5_lag1,saves_roll_mean3_lag1,saves_roll_mean5_lag1,starts_roll_mean3_lag1,starts_roll_mean5_lag1,threat_roll_mean3_lag1,threat_roll_mean5_lag1,yellow_cards_roll_mean3_lag1,yellow_cards_roll_mean5_lag1,total_points_roll_mean3_lag1,total_points_roll_mean5_lag1,xP_roll_mean3_lag1,xP_roll_mean5_lag1,expected_assists_roll_mean3_lag1,expected_assists_roll_mean5_lag1,expected_goal_involvements_roll_mean3_lag1,expected_goal_involvements_roll_mean5_lag1,expected_goals_roll_mean3_lag1,expected_goals_roll_mean5_lag1,value_roll_mean3_lag1,value_roll_mean5_lag1,selected_roll_mean3_lag1,selected_roll_mean5_lag1,transfers_balance_roll_mean3_lag1,transfers_balance_roll_mean5_lag1,transfers_in_roll_mean3_lag1,transfers_in_roll_mean5_lag1,transfers_out_roll_mean3_lag1,transfers_out_roll_mean5_lag1,team_a_score_roll_mean3_lag1,team_a_score_roll_mean5_lag1,team_h_score_roll_mean3_lag1,team_h_score_roll_mean5_lag1
Alexander Isak,FWD,Newcastle,2023-08-12T16:30:00Z,2,1,3.0,0.0,3.0,51.0,0.0,415.0,0.02,0.78,0.76,1.0,2.0,13.2,67.0,0.0,1346330.0,1.0,1.0,5.0,61.0,13.0,0.0,0.0,0.0,75.0,0.0,1.0,2.6390573296152584,15,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,344.6666666666667,414.0,-0.3333333333333333,-0.2,0.0,0.0,0.3333333333333333,0.2,0.5,0.9,1.8333333333333333,2.1
Alexander Isak,FWD,Newcastle,2023-08-19T19:00:00Z,13,0,7.0,0.0,0.0,7.0,0.0,415.0,0.02,0.02,0.0,1.0,0.0,0.4,65.0,0.0,2258271.0,1.0,0.0,1.0,2.0,2.0,433540.0,508318.0,74778.0,76.0,0.0,2.0,1.0986122886681098,15,5,3,3,0.0,0.0,3.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,13.2,0.0,67.0,0.0,0.0,0.0,1.0,0.0,61.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.02,0.0,0.78,0.0,0.76,0.0,75.0,0.0,1346330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.6,17.0,10.2,0.0,0.0,0.3333333333333333,0.2,0.6666666666666666,0.4,4.3999999999999995,2.6399999999999997,22.333333333333332,13.4,0.0,0.0,0.3333333333333333,0.2,20.333333333333332,12.2,0.0,0.0,4.333333333333333,2.6,1.0,0.6,0.006666666666666699,0.004000000000000019,0.26000000000000006,0.156,0.2533333333333333,0.152,40.0,42.0,448949.0,269576.4,0.0,-0.2,0.0,0.0,0.0,0.2,0.8333333333333334,0.7,2.1666666666666665,2.3
Alexander Isak,FWD,Newcastle,2023-08-27T15:30:00Z,11,1,5.7,0.0,0.0,5.0,1.0,415.0,0.02,0.18,0.16,0.0,0.0,3.3,71.0,0.0,2671221.0,1.0,2.0,1.0,19.0,2.0,276320.0,408228.0,131908.0,77.0,0.0,3.0,1.0986122886681098,15,4,3,3,0.0,0.0,0.0,3.0,7.0,51.0,0.0,0.0,1.0,1.0,0.0,2.0,0.4,13.2,65.0,67.0,0.0,0.0,1.0,1.0,2.0,61.0,0.0,0.0,2.0,13.0,7.0,3.0,0.02,0.02,0.02,0.78,0.0,0.76,76.0,75.0,2258271.0,1346330.0,433540.0,0.0,508318.0,0.0,74778.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.6,19.333333333333332,11.6,0.0,0.0,0.6666666666666666,0.4,0.6666666666666666,0.4,4.533333333333333,2.7199999999999998,44.0,26.4,0.0,0.0,0.6666666666666666,0.4,21.0,12.6,0.0,0.0,5.0,3.0,3.3333333333333335,2.0,0.013333333333333365,0.00800000000000002,0.2666666666666668,0.16,0.2533333333333333,0.152,50.333333333333336,48.2,1201533.6666666667,721127.0,144513.33333333334,86707.8,169439.33333333334,101663.6,24926.0,14955.8,0.3333333333333333,0.5,2.0,2.3
Alexander Isak,FWD,Newcastle,2023-09-02T16:30:00Z,5,0,5.3,0.0,0.0,7.0,0.0,415.0,0.03,0.51,0.48,3.0,0.0,2.4,73.0,0.0,2773868.0,1.0,1.0,3.0,20.0,2.0,36218.0,215435.0,179217.0,77.0,0.0,4.0,1.0986122886681098,15,3,3,3,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3.3,0.4,71.0,65.0,0.0,0.0,1.0,1.0,19.0,2.0,0.0,0.0,2.0,2.0,5.7,7.0,0.02,0.02,0.18,0.02,0.16,0.0,77.0,76.0,2671221.0,2258271.0,276320.0,433540.0,408228.0,508318.0,131908.0,74778.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,21.0,12.6,0.3333333333333333,0.2,0.6666666666666666,0.4,0.6666666666666666,0.4,5.633333333333333,3.38,67.66666666666667,40.6,0.0,0.0,1.0,0.6,27.333333333333332,16.4,0.0,0.0,5.666666666666667,3.4,5.233333333333333,3.1399999999999997,0.02,0.01200000000000002,0.3266666666666667,0.196,0.30666666666666664,0.184,76.0,54.6,2091940.6666666667,1255267.8,236620.0,141972.0,305515.3333333333,183309.2,68895.33333333333,41337.2,1.0,0.9,2.3333333333333335,1.7
Alexander Isak,FWD,Newcastle,2023-09-16T16:30:00Z,4,1,1.8,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659589.0,0.0,0.0,1.0,0.0,0.0,-164971.0,165476.0,330447.0,77.0,0.0,5.0,0.0,15,3,3,3,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,2.4,3.3,73.0,71.0,0.0,0.0,1.0,1.0,20.0,19.0,0.0,0.0,2.0,2.0,5.3,5.7,0.03,0.02,0.51,0.18,0.48,0.16,77.0,77.0,2773868.0,2671221.0,36218.0,276320.0,215435.0,408228.0,179217.0,131908.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.6,6.333333333333333,14.0,0.3333333333333333,0.2,1.3333333333333333,1.0,0.0,0.4,2.033333333333333,3.8599999999999994,69.66666666666667,55.2,0.0,0.0,1.0,0.8,13.666666666666666,20.4,0.0,0.0,2.0,3.8,6.0,4.2,0.023333333333333362,0.01800000000000002,0.23666666666666672,0.298,0.2133333333333333,0.27999999999999997,76.66666666666667,61.0,2567786.6666666665,1809938.0,248692.66666666666,149215.6,377327.0,226396.2,128634.33333333333,77180.6,1.0,0.8,1.6666666666666667,2.0
Alexander Isak,FWD,Newcastle,2023-09-24T15:30:00Z,17,0,3.2,0.0,0.0,27.0,0.0,415.0,0.02,0.63,0.61,0.0,1.0,6.3,20.0,0.0,2327167.0,0.0,8.0,0.0,25.0,5.0,-347059.0,65094.0,412153.0,76.0,0.0,6.0,1.791759469228055,15,2,3,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.4,0.0,73.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,2.0,1.8,5.3,0.0,0.03,0.0,0.51,0.0,0.48,77.0,77.0,2659589.0,2773868.0,-164971.0,36218.0,165476.0,215435.0,330447.0,179217.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.6,4.0,14.0,0.3333333333333333,0.2,1.0,1.0,0.0,0.4,1.8999999999999997,3.8599999999999994,48.0,55.2,0.0,0.0,0.6666666666666666,0.8,13.0,20.4,0.0,0.0,1.3333333333333333,3.8,4.266666666666667,4.5600000000000005,0.0166666666666667,0.01800000000000002,0.23000000000000007,0.298,0.2133333333333333,0.27999999999999997,77.0,76.4,2701559.3333333335,2341855.8,49189.0,116221.4,263046.3333333333,259491.4,213857.33333333334,143270.0,1.0,0.8,1.6666666666666667,2.2
Alexander Isak,FWD,Newcastle,2023-09-30T14:00:00Z,6,1,3.5,0.0,0.0,22.0,1.0,415.0,0.03,1.86,1.83,0.0,1.0,14.0,90.0,0.0,2018967.0,1.0,0.0,2.0,73.0,6.0,-304084.0,56101.0,360185.0,76.0,0.0,7.0,1.9459101490553132,15,2,3,3,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.3,0.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,0.0,3.2,1.8,0.02,0.0,0.63,0.0,0.61,0.0,76.0,77.0,2327167.0,2659589.0,-347059.0,-164971.0,65094.0,165476.0,412153.0,330447.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.333333333333334,9.2,0.0,0.2,1.0,0.8,0.3333333333333333,0.2,2.9,2.4799999999999995,31.0,45.8,0.0,0.0,0.3333333333333333,0.6,15.0,13.2,0.0,0.0,2.3333333333333335,2.2,3.4333333333333336,4.6,0.0166666666666667,0.01800000000000002,0.38000000000000006,0.26799999999999996,0.3633333333333333,0.25,76.66666666666667,76.6,2586874.6666666665,2538023.2,-158604.0,46809.6,148668.33333333334,272510.2,307272.3333333333,225700.6,3.0,2.2,1.3333333333333333,1.2
Alexander Isak,FWD,Newcastle,2023-10-08T13:00:00Z,19,0,8.5,0.0,3.0,51.0,0.0,415.0,0.01,1.61,1.6,1.0,2.0,14.6,85.0,0.0,2069499.0,1.0,2.0,2.0,76.0,13.0,2451.0,141318.0,138867.0,75.0,0.0,8.0,2.6390573296152584,15,3,3,3,0.0,0.0,0.0,0.0,22.0,27.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,6.3,90.0,20.0,0.0,0.0,1.0,0.0,73.0,25.0,0.0,0.0,6.0,5.0,3.5,3.2,0.03,0.02,1.86,0.63,1.83,0.61,76.0,76.0,2018967.0,2327167.0,-304084.0,-347059.0,56101.0,65094.0,360185.0,412153.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,12.2,0.3333333333333333,0.4,0.0,0.6,0.6666666666666666,0.4,6.766666666666666,5.2,36.666666666666664,50.8,0.0,0.0,0.3333333333333333,0.6,32.666666666666664,27.4,0.0,0.0,3.6666666666666665,3.0,2.8333333333333335,3.9,0.0166666666666667,0.020000000000000018,0.8300000000000001,0.636,0.8133333333333334,0.616,76.33333333333333,76.6,2335241.0,2490162.4,-272038.0,-100715.2,95557.0,182066.8,367595.0,282782.0,2.6666666666666665,2.2,1.0,1.4
Alexander Isak,FWD,Newcastle,2023-10-21T14:00:00Z,8,1,3.6,0.0,0.0,3.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,1.3,20.0,0.0,2040351.0,0.0,0.0,4.0,0.0,1.0,-33527.0,172085.0,205612.0,75.0,0.0,9.0,0.6931471805599453,15,3,3,3,0.0,0.0,3.0,0.0,51.0,22.0,0.0,1.0,1.0,0.0,2.0,1.0,14.6,14.0,85.0,90.0,0.0,0.0,1.0,1.0,76.0,73.0,0.0,0.0,13.0,6.0,8.5,3.5,0.01,0.03,1.61,1.86,1.6,1.83,75.0,76.0,2069499.0,2018967.0,2451.0,-304084.0,141318.0,56101.0,138867.0,360185.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.6,33.333333333333336,21.4,0.3333333333333333,0.2,0.3333333333333333,0.8,1.3333333333333333,0.8,11.633333333333333,7.459999999999999,65.0,53.6,0.0,0.0,0.6666666666666666,0.6,58.0,38.8,0.0,0.0,8.0,5.2,5.066666666666666,4.46,0.02000000000000003,0.01800000000000002,1.366666666666667,0.922,1.3466666666666667,0.9039999999999999,75.66666666666667,76.2,2138544.3333333335,2369818.0,-216230.66666666666,-155489.0,87504.33333333333,128684.8,303735.0,284173.8,3.3333333333333335,2.2,1.3333333333333333,1.6
Alexander Isak,FWD,Newcastle,2023-10-28T16:30:00Z,20,0,1.3,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788969.0,0.0,2.0,2.0,0.0,0.0,-255210.0,57874.0,313084.0,75.0,0.0,10.0,0.0,15,3,3,3,0.0,0.0,0.0,3.0,3.0,51.0,0.0,0.0,0.0,1.0,0.0,2.0,1.3,14.6,20.0,85.0,0.0,0.0,0.0,1.0,0.0,76.0,0.0,0.0,1.0,13.0,3.6,8.5,0.0,0.01,0.0,1.61,0.0,1.6,75.0,75.0,2040351.0,2069499.0,-33527.0,2451.0,172085.0,141318.0,205612.0,138867.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,0.6,25.333333333333332,20.6,0.3333333333333333,0.2,0.3333333333333333,0.2,1.0,0.8,9.966666666666667,7.239999999999999,65.0,43.0,0.0,0.0,0.6666666666666666,0.4,49.666666666666664,34.8,0.0,0.0,6.666666666666667,5.0,5.2,4.12,0.013333333333333364,0.012000000000000021,1.156666666666667,0.8200000000000001,1.1433333333333333,0.8080000000000002,75.33333333333333,75.8,2042939.0,2223114.6,-111720.0,-169438.0,123168.0,120014.8,234888.0,289452.8,0.6666666666666666,2.0,2.6666666666666665,1.8
Alexander Isak,FWD,Newcastle,2023-11-04T17:30:00Z,1,1,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385346.0,0.0,0.0,1.0,0.0,0.0,-403987.0,2273.0,406260.0,74.0,0.0,11.0,0.0,15,5,3,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,1788969.0,2040351.0,-255210.0,-33527.0,57874.0,172085.0,313084.0,205612.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.6,18.0,20.6,0.0,0.2,0.3333333333333333,0.2,0.6666666666666666,0.8,5.3,7.239999999999999,35.0,43.0,0.0,0.0,0.3333333333333333,0.4,25.333333333333332,34.8,0.0,0.0,4.666666666666667,5.0,4.466666666666666,4.02,0.0033333333333333656,0.01200000000000002,0.5366666666666667,0.8200000000000001,0.5333333333333333,0.8080000000000002,75.0,75.4,1966273.0,2048990.6,-95428.66666666667,-187485.8,123759.0,98494.4,219187.66666666666,285980.2,1.3333333333333333,2.4,2.6666666666666665,2.0
Alexander Isak,FWD,Newcastle,2023-11-11T17:30:00Z,3,0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216995.0,0.0,0.0,2.0,0.0,0.0,-172926.0,1109.0,174035.0,74.0,0.0,12.0,0.0,15,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,74.0,75.0,1385346.0,1788969.0,-403987.0,-255210.0,2273.0,57874.0,406260.0,313084.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.6,1.0,15.2,0.0,0.2,0.0,0.2,0.0,0.6,0.43333333333333335,5.9799999999999995,6.666666666666667,39.0,0.0,0.0,0.0,0.4,0.0,29.8,0.0,0.0,0.3333333333333333,4.0,1.6333333333333329,3.38,0.0,0.00800000000000002,0.0,0.6940000000000002,0.0,0.686,74.66666666666667,75.0,1738222.0,1860626.4,-230908.0,-198871.4,77410.66666666667,85930.2,308318.6666666667,284801.6,0.6666666666666666,0.8,2.3333333333333335,2.2
Alexander Isak,FWD,Newcastle,2023-11-25T15:00:00Z,7,1,1.6,0.0,2.0,25.0,0.0,415.0,0.01,0.65,0.64,1.0,1.0,5.1,80.0,0.0,1146296.0,1.0,1.0,4.0,19.0,8.0,-75136.0,8104.0,83240.0,74.0,0.0,13.0,2.1972245773362196,15,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,1216995.0,1385346.0,-172926.0,-403987.0,1109.0,2273.0,174035.0,406260.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.6,0.0,10.8,0.0,0.0,0.0,0.2,0.0,0.4,0.0,3.1799999999999997,0.0,21.0,0.0,0.0,0.0,0.2,0.0,15.2,0.0,0.0,0.0,2.8,0.43333333333333274,2.68,0.0,0.0020000000000000196,0.0,0.322,0.0,0.32,74.33333333333333,74.6,1463770.0,1700232.0,-277374.3333333333,-172639.8,20418.666666666668,74931.8,297793.0,247571.6,0.6666666666666666,0.8,1.6666666666666667,2.2
Alexander Isak,FWD,Newcastle,2023-12-02T20:00:00Z,14,1,2.5,0.0,0.0,11.0,1.0,415.0,0.64,0.98,0.34,0.0,0.0,4.3,90.0,0.0,1523465.0,1.0,0.0,1.0,19.0,2.0,354980.0,365708.0,10728.0,75.0,0.0,14.0,1.0986122886681098,15,3,3,3,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.1,0.0,80.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,1.6,0.0,0.01,0.0,0.65,0.0,0.64,0.0,74.0,74.0,1146296.0,1216995.0,-75136.0,-172926.0,8104.0,1109.0,83240.0,174035.0,1.0,0.0,4.0,2.0,0.0,0.0,0.6666666666666666,0.4,8.333333333333334,5.6,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.2,1.7,1.2799999999999996,26.666666666666668,20.0,0.0,0.0,0.3333333333333333,0.2,6.333333333333333,3.8,0.0,0.0,2.6666666666666665,1.8,0.5333333333333328,1.3,0.0033333333333333656,0.0020000000000000196,0.21666666666666676,0.13,0.21333333333333335,0.128,74.0,74.4,1249545.6666666667,1515591.4,-217349.66666666666,-188157.2,3828.6666666666665,48289.0,221178.33333333334,236446.2,0.3333333333333333,0.6,2.3333333333333335,2.6
Alexander Isak,FWD,Newcastle,2023-12-07T19:30:00Z,9,0,3.5,0.0,0.0,1.0,0.0,415.0,0.01,0.46,0.45,3.0,0.0,2.6,90.0,0.0,1640166.0,1.0,0.0,3.0,14.0,2.0,117612.0,147857.0,30245.0,75.0,0.0,15.0,1.0986122886681098,15,3,3,3,0.0,0.0,0.0,2.0,11.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,4.3,5.1,90.0,80.0,0.0,0.0,1.0,1.0,19.0,19.0,0.0,0.0,2.0,8.0,2.5,1.6,0.64,0.01,0.98,0.65,0.34,0.64,75.0,74.0,1523465.0,1146296.0,354980.0,-75136.0,365708.0,8104.0,10728.0,83240.0,0.0,1.0,1.0,4.0,0.0,0.0,0.6666666666666666,0.4,12.0,7.2,0.3333333333333333,0.2,0.3333333333333333,0.2,0.3333333333333333,0.2,3.133333333333333,1.8799999999999997,56.666666666666664,34.0,0.0,0.0,0.6666666666666666,0.4,12.666666666666666,7.6,0.0,0.0,3.3333333333333335,2.0,1.366666666666666,1.08,0.2166666666666667,0.13000000000000003,0.5433333333333334,0.32599999999999996,0.32666666666666666,0.196,74.33333333333333,74.4,1295585.3333333333,1412214.2,35639.333333333336,-110455.8,124973.66666666667,87013.6,89334.33333333333,197469.4,0.3333333333333333,0.6,2.3333333333333335,2.0
Alexander Isak,FWD,Newcastle,2023-12-10T16:30:00Z,18,0,3.3,0.0,0.0,3.0,0.0,415.0,0.06,0.83,0.77,3.0,0.0,0.8,63.0,0.0,1644906.0,1.0,1.0,4.0,7.0,2.0,4987.0,60754.0,55767.0,76.0,0.0,16.0,1.0986122886681098,15,4,3,3,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,2.6,4.3,90.0,90.0,0.0,0.0,1.0,1.0,14.0,19.0,0.0,0.0,2.0,2.0,3.5,2.5,0.01,0.64,0.46,0.98,0.45,0.34,75.0,75.0,1640166.0,1523465.0,117612.0,354980.0,147857.0,365708.0,30245.0,10728.0,0.0,0.0,3.0,1.0,0.0,0.0,0.6666666666666666,0.4,12.333333333333334,7.4,0.3333333333333333,0.2,1.3333333333333333,0.8,0.3333333333333333,0.2,4.0,2.3999999999999995,86.66666666666667,52.0,0.0,0.0,1.0,0.6,17.333333333333332,10.4,0.0,0.0,4.0,2.4,2.5333333333333328,1.52,0.22000000000000006,0.13200000000000003,0.6966666666666668,0.418,0.47666666666666674,0.28600000000000003,74.66666666666667,74.4,1436642.3333333333,1382453.6,132485.33333333334,-35891.4,173889.66666666666,105010.2,41404.333333333336,140901.6,0.3333333333333333,0.2,2.6666666666666665,2.2
Alexander Isak,FWD,Newcastle,2023-12-16T15:00:00Z,10,1,3.3,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771844.0,0.0,0.0,3.0,0.0,0.0,105968.0,170980.0,65012.0,76.0,0.0,17.0,0.0,15,3,3,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.8,2.6,63.0,90.0,0.0,0.0,1.0,1.0,7.0,14.0,0.0,0.0,2.0,2.0,3.3,3.5,0.06,0.01,0.83,0.46,0.77,0.45,76.0,75.0,1644906.0,1640166.0,4987.0,117612.0,60754.0,147857.0,55767.0,30245.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.4,5.0,8.0,0.3333333333333333,0.2,2.0,1.4,0.0,0.2,2.566666666666667,2.5599999999999996,81.0,64.6,0.0,0.0,1.0,0.8,13.333333333333334,11.8,0.0,0.0,2.0,2.8,3.0999999999999996,2.18,0.2366666666666667,0.14400000000000002,0.7566666666666668,0.584,0.52,0.44000000000000006,75.33333333333333,74.8,1602845.6666666667,1434365.6,159193.0,45903.4,191439.66666666666,116706.4,32246.666666666668,70803.0,0.3333333333333333,0.4,2.6666666666666665,2.8
Alexander Isak,FWD,Newcastle,2023-12-23T15:00:00Z,12,0,2.6,0.0,0.0,4.0,0.0,415.0,0.2,0.2,0.0,0.0,0.0,2.4,52.0,0.0,1632497.0,0.0,0.0,1.0,2.0,1.0,-129258.0,69601.0,198859.0,76.0,0.0,18.0,0.6931471805599453,15,2,3,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,0.0,63.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,3.3,3.3,0.0,0.06,0.0,0.83,0.0,0.77,76.0,76.0,1771844.0,1644906.0,105968.0,4987.0,170980.0,60754.0,65012.0,55767.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.4,1.3333333333333333,8.0,0.0,0.2,2.0,1.4,0.0,0.2,1.1333333333333335,2.5599999999999996,51.0,64.6,0.0,0.0,0.6666666666666666,0.8,7.0,11.8,0.0,0.0,1.3333333333333333,2.8,3.366666666666666,2.84,0.023333333333333373,0.14400000000000002,0.4300000000000001,0.584,0.4066666666666667,0.44000000000000006,75.66666666666667,75.2,1685638.6666666667,1545335.4,76189.0,101682.2,126530.33333333333,150680.6,50341.333333333336,48998.4,0.3333333333333333,0.4,3.3333333333333335,3.0
Alexander Isak,FWD,Newcastle,2023-12-26T12:30:00Z,16,1,2.8,0.0,1.0,30.0,0.0,415.0,0.15,1.5,1.35,3.0,1.0,19.3,90.0,0.0,1566522.0,1.0,3.0,1.0,102.0,7.0,-71808.0,36105.0,107913.0,76.0,0.0,19.0,2.0794415416798357,15,3,3,3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.6,3.3,0.2,0.0,0.2,0.0,0.0,0.0,76.0,76.0,1632497.0,1771844.0,-129258.0,105968.0,69601.0,170980.0,198859.0,65012.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.3333333333333335,3.8,0.0,0.2,1.0,1.2,0.0,0.0,1.0666666666666667,2.0199999999999996,38.333333333333336,59.0,0.0,0.0,0.3333333333333333,0.6,3.0,8.4,0.0,0.0,1.0,1.4,3.0666666666666664,3.04,0.08666666666666671,0.18200000000000002,0.3433333333333333,0.49400000000000005,0.25666666666666665,0.312,76.0,75.6,1683082.3333333333,1642575.6,-6101.0,90857.8,100445.0,162980.0,106546.0,72122.2,0.3333333333333333,0.2,2.6666666666666665,2.4
